FeaturesParamTransientDCAPN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.2684564) Y,7.503512e-02,1.344300e-24,1.287070e-10
/out1 (Vin=0.2791946) Y,7.503512e-02,1.320778e-20,1.845451e-08
/out1 (Vin=0.2899329) Y,7.503512e-02,1.220731e-25,-4.978846e-12
/out1 (Vin=0.3006711) Y,7.503512e-02,1.002313e-25,6.192652e-12
/out1 (Vin=0.3114094) Y,7.503512e-02,1.362460e-25,2.479587e-12
/out1 (Vin=0.3221477) Y,7.503512e-02,4.667068e-17,1.097445e-06
/out1 (Vin=0.3328859) Y,7.503512e-02,1.058452e-24,-7.676153e-12
/out1 (Vin=0.3436242) Y,7.503512e-02,1.743696e-25,1.734429e-12
/out1 (Vin=0.3543624) Y,7.503513e-02,4.222033e-25,8.336265e-11
/out1 (Vin=0.3651007) Y,7.503513e-02,2.652347e-25,-1.097921e-11
/out1 (Vin=0.3758389) Y,7.503513e-02,2.585323e-25,-5.882167e-12
/out1 (Vin=0.3865772) Y,7.503513e-02,3.552398e-25,-3.206880e-12
/out1 (Vin=0.3973154) Y,7.503513e-02,3.120176e-26,7.290330e-14
/out1 (Vin=0.4080537) Y,7.503514e-02,2.051363e-25,-1.035804e-12
/out1 (Vin=0.4187919) Y,7.503514e-02,1.927983e-25,5.043351e-13
/out1 (Vin=0.4295302) Y,7.503514e-02,7.379671e-25,1.032850e-11
/out1 (Vin=0.4402685) Y,7.503515e-02,4.561061e-26,-2.493705e-12
/out1 (Vin=0.4510067) Y,7.503515e-02,3.056092e-17,8.880463e-07
/out1 (Vin=0.461745) Y,7.503516e-02,3.093967e-17,8.935356e-07
/out1 (Vin=0.4724832) Y,7.503517e-02,2.040787e-17,7.256970e-07
/out1 (Vin=0.4832215) Y,7.503518e-02,1.792004e-17,6.800258e-07
/out1 (Vin=0.4939597) Y,7.503520e-02,9.915528e-26,2.010485e-12
/out1 (Vin=0.504698) Y,7.503524e-02,4.166120e-14,-3.278474e-05
/out1 (Vin=0.5154362) Y,7.503530e-02,3.094064e-17,8.935550e-07
/out1 (Vin=0.5261745) Y,7.503543e-02,1.401672e-17,6.014221e-07
/out1 (Vin=0.5369128) Y,7.503562e-02,3.094751e-17,8.936589e-07
/out1 (Vin=0.547651) Y,7.503589e-02,3.095908e-17,8.938101e-07
/out1 (Vin=0.5583893) Y,7.503627e-02,3.096021e-17,8.938398e-07
/out1 (Vin=0.5691275) Y,7.503684e-02,3.097751e-17,8.940763e-07
/out1 (Vin=0.5798658) Y,7.503777e-02,3.099552e-17,8.943461e-07
/out1 (Vin=0.590604) Y,7.503963e-02,3.103365e-17,8.948907e-07
/out1 (Vin=0.6013423) Y,7.504605e-02,4.897896e-26,6.982115e-13
/out1 (Vin=0.6120805) Y,7.550127e-02,8.472682e-20,4.675417e-08
/out1 (Vin=0.6228188) Y,9.601535e-02,2.257743e-22,-2.404093e-09
/out1 (Vin=0.633557) Y,9.642662e-02,5.254282e-25,1.135892e-11
/out1 (Vin=0.6442953) Y,9.642872e-02,3.092978e-25,2.164076e-10
/out1 (Vin=0.6550336) Y,9.642886e-02,3.070245e-25,1.727158e-11
/out1 (Vin=0.6657718) Y,9.642890e-02,3.012469e-25,1.132980e-11
/out1 (Vin=0.6765101) Y,9.642892e-02,1.245645e-24,-8.719017e-12
/out1 (Vin=0.6872483) Y,9.642894e-02,6.913144e-25,-8.524002e-12
/out1 (Vin=0.6979866) Y,9.642895e-02,8.443384e-26,-3.362955e-12
/out1 (Vin=0.7087248) Y,9.642896e-02,8.934563e-25,1.471010e-11
/out1 (Vin=0.7194631) Y,9.642897e-02,1.305494e-24,1.875390e-11
/out1 (Vin=0.7302013) Y,9.642898e-02,4.574709e-25,3.664526e-11
/out1 (Vin=0.7409396) Y,9.642898e-02,2.257172e-25,8.661946e-14
/out1 (Vin=0.7516779) Y,9.642899e-02,1.540185e-24,9.487521e-11
/out1 (Vin=0.7624161) Y,9.642899e-02,2.080984e-24,2.370145e-11
/out1 (Vin=0.7731544) Y,9.642899e-02,1.936013e-24,-1.372554e-11
/out1 (Vin=0.7838926) Y,9.642900e-02,6.856969e-26,4.193116e-12
/out1 (Vin=0.7946309) Y,9.642900e-02,1.327799e-25,2.750145e-11
/out1 (Vin=0.8053691) Y,9.642900e-02,1.525449e-25,3.655548e-11
/out1 (Vin=0.8161074) Y,9.642900e-02,1.555663e-25,1.607125e-10
/out1 (Vin=0.8268456) Y,9.642901e-02,6.031869e-25,-1.806904e-12
/out1 (Vin=0.8375839) Y,9.642901e-02,2.696484e-25,-1.189042e-12
/out1 (Vin=0.8483221) Y,9.642901e-02,9.972247e-25,6.623638e-11
/out1 (Vin=0.8590604) Y,9.642901e-02,2.943286e-25,2.747312e-12
/out1 (Vin=0.8697987) Y,9.642901e-02,9.112151e-26,9.279607e-12
/out1 (Vin=0.8805369) Y,9.642901e-02,3.013974e-25,-1.670568e-12
/out1 (Vin=0.8912752) Y,9.642901e-02,2.157602e-24,-1.451416e-11
/out1 (Vin=0.9020134) Y,9.642902e-02,1.140062e-24,-1.469552e-11
/out1 (Vin=0.9127517) Y,9.642902e-02,2.408693e-25,2.534616e-11
/out1 (Vin=0.9234899) Y,9.642902e-02,6.523561e-25,5.556938e-12
/out1 (Vin=0.9342282) Y,9.642902e-02,6.537167e-25,3.359676e-12
/out1 (Vin=0.9449664) Y,9.642902e-02,1.457491e-25,8.538936e-12
/out1 (Vin=0.9557047) Y,9.642902e-02,6.036329e-25,-7.106791e-12
/out1 (Vin=0.966443) Y,9.642902e-02,2.709244e-25,1.063797e-11
/out1 (Vin=0.9771812) Y,9.642902e-02,1.936988e-24,1.126322e-11
/out1 (Vin=0.9879195) Y,9.642902e-02,8.127191e-25,1.690179e-11
/out1 (Vin=0.9986577) Y,9.642902e-02,1.238894e-24,7.317882e-12
/out1 (Vin=1.009396) Y,9.642902e-02,4.586149e-25,1.864658e-10
/out1 (Vin=1.020134) Y,9.642902e-02,5.699320e-25,4.848132e-12
/out1 (Vin=1.030872) Y,9.642902e-02,1.139171e-24,4.212456e-12
/out1 (Vin=1.041611) Y,9.642902e-02,3.779457e-25,1.374268e-10
/out1 (Vin=1.052349) Y,9.642902e-02,4.580135e-25,-2.033021e-12
/out1 (Vin=1.063087) Y,9.642902e-02,1.250274e-24,-3.761168e-12
/out1 (Vin=1.073826) Y,9.642902e-02,7.434105e-25,9.157753e-14
/out1 (Vin=1.084564) Y,9.642903e-02,1.322622e-24,-9.109012e-12
/out1 (Vin=1.095302) Y,9.642903e-02,1.840209e-25,3.747840e-11
/out1 (Vin=1.10604) Y,9.642903e-02,2.038343e-25,5.331244e-12
/out1 (Vin=1.116779) Y,9.642903e-02,2.827182e-25,5.126078e-11
/out1 (Vin=1.127517) Y,9.642903e-02,1.513317e-25,8.276324e-12
/out1 (Vin=1.138255) Y,9.642903e-02,4.033903e-25,-3.960797e-12
/out1 (Vin=1.148993) Y,9.642903e-02,1.953360e-24,-1.252834e-11
/out1 (Vin=1.159732) Y,9.642903e-02,4.653570e-25,-5.837263e-13
/out1 (Vin=1.17047) Y,9.642903e-02,1.799276e-25,1.301527e-11
/out1 (Vin=1.181208) Y,9.642903e-02,2.383888e-25,-4.724946e-13
/out1 (Vin=1.191946) Y,9.642903e-02,1.555846e-25,-8.241887e-12
/out1 (Vin=1.202685) Y,9.642903e-02,3.545656e-25,1.083369e-11
/out1 (Vin=1.213423) Y,9.642903e-02,1.681865e-25,-1.524061e-11
/out1 (Vin=1.224161) Y,9.642903e-02,2.990591e-24,1.096223e-10
/out1 (Vin=1.234899) Y,9.642903e-02,6.942719e-25,1.236601e-11
/out1 (Vin=1.245638) Y,9.642903e-02,3.833842e-25,1.508112e-11
/out1 (Vin=1.256376) Y,9.642903e-02,1.120365e-25,-2.798402e-12
/out1 (Vin=1.267114) Y,9.642903e-02,4.792945e-24,1.723028e-11
/out1 (Vin=1.277852) Y,9.642903e-02,1.283481e-25,-4.339282e-12
/out1 (Vin=1.288591) Y,9.642903e-02,2.471211e-25,1.263447e-11
/out1 (Vin=1.299329) Y,9.642903e-02,5.033490e-25,1.605133e-11
/out1 (Vin=1.310067) Y,9.642903e-02,6.909084e-19,-1.334822e-07
/out1 (Vin=1.320805) Y,9.642903e-02,2.826920e-25,1.337930e-11
/out1 (Vin=1.331544) Y,9.642903e-02,2.612585e-25,1.902812e-10
/out1 (Vin=1.342282) Y,9.642903e-02,3.346513e-25,1.270705e-10
/out1 (Vin=1.35302) Y,9.642903e-02,4.330091e-24,-2.018052e-11
/out1 (Vin=1.363758) Y,9.642903e-02,1.143049e-25,-5.909030e-12
/out1 (Vin=1.374497) Y,9.642903e-02,1.367088e-25,-4.480645e-12
/out1 (Vin=1.385235) Y,9.642903e-02,9.618620e-25,-1.149583e-11
/out1 (Vin=1.395973) Y,9.642903e-02,2.425222e-25,1.361452e-12
/out1 (Vin=1.406711) Y,9.642903e-02,1.684176e-25,2.011264e-11
/out1 (Vin=1.41745) Y,9.642903e-02,1.615550e-25,-5.739727e-12
/out1 (Vin=1.428188) Y,9.642903e-02,4.383207e-25,7.589505e-12
/out1 (Vin=1.438926) Y,9.642903e-02,1.034432e-24,-5.853238e-12
/out1 (Vin=1.449664) Y,9.642903e-02,3.213567e-25,2.080623e-10
/out1 (Vin=1.460403) Y,9.642903e-02,2.808390e-25,2.729403e-10
/out1 (Vin=1.471141) Y,9.642903e-02,9.801039e-25,2.023738e-12
/out1 (Vin=1.481879) Y,9.642903e-02,2.456908e-24,1.247234e-11
/out1 (Vin=1.492617) Y,9.642896e-02,8.713211e-13,1.499886e-04
/out1 (Vin=1.503356) Y,9.642903e-02,2.260960e-25,1.498457e-11
/out1 (Vin=1.514094) Y,9.642903e-02,4.685564e-25,3.317040e-11
/out1 (Vin=1.524832) Y,9.642903e-02,3.866699e-25,1.805233e-11
/out1 (Vin=1.53557) Y,9.642903e-02,1.105994e-24,2.064938e-11
/out1 (Vin=1.546309) Y,9.642903e-02,6.497084e-25,3.871216e-11
/out1 (Vin=1.557047) Y,9.642903e-02,1.553406e-24,2.262416e-11
/out1 (Vin=1.567785) Y,9.642903e-02,3.084446e-18,2.821371e-07
/out1 (Vin=1.578523) Y,9.642903e-02,3.015080e-25,1.111277e-10
/out1 (Vin=1.589262) Y,9.642898e-02,4.202739e-13,1.041629e-04
/out1 (Vin=1.6) Y,9.642903e-02,2.112389e-24,2.426941e-11
Stage 3 Output
/out2 (Vin=0) Y,2.472783e-01,1.889349e-17,-6.998146e-07
/out2 (Vin=0.01073826) Y,2.472783e-01,4.851062e-17,-1.121153e-06
/out2 (Vin=0.02147651) Y,2.472783e-01,7.445807e-23,1.140303e-10
/out2 (Vin=0.03221477) Y,2.472783e-01,7.832844e-23,1.235269e-09
/out2 (Vin=0.04295302) Y,2.472783e-01,1.241563e-22,1.250678e-09
/out2 (Vin=0.05369128) Y,2.472777e-01,3.973849e-11,1.015423e-03
/out2 (Vin=0.06442953) Y,2.472777e-01,4.080945e-11,1.029022e-03
/out2 (Vin=0.07516779) Y,2.472777e-01,4.155490e-11,1.038382e-03
/out2 (Vin=0.08590604) Y,2.472777e-01,4.254778e-11,1.050720e-03
/out2 (Vin=0.0966443) Y,2.472783e-01,7.026481e-23,1.060257e-09
/out2 (Vin=0.1073826) Y,2.472783e-01,4.639050e-20,3.476856e-08
/out2 (Vin=0.1181208) Y,2.472782e-01,1.796639e-13,6.824641e-05
/out2 (Vin=0.1288591) Y,2.472783e-01,4.091889e-17,1.029918e-06
/out2 (Vin=0.1395973) Y,2.472783e-01,5.939606e-23,-5.034673e-11
/out2 (Vin=0.1503356) Y,2.472783e-01,1.867351e-23,1.569298e-10
/out2 (Vin=0.1610738) Y,2.472783e-01,8.559583e-23,1.104201e-09
/out2 (Vin=0.1718121) Y,2.472783e-01,2.596509e-23,1.483240e-10
/out2 (Vin=0.1825503) Y,2.472783e-01,1.402425e-23,1.123978e-10
/out2 (Vin=0.1932886) Y,2.472783e-01,5.134065e-23,-7.741683e-12
/out2 (Vin=0.2040268) Y,2.472783e-01,5.010493e-23,2.527638e-11
/out2 (Vin=0.2147651) Y,2.472783e-01,5.229839e-23,6.114546e-12
/out2 (Vin=0.2255034) Y,2.472783e-01,3.084515e-23,-5.377780e-11
/out2 (Vin=0.2362416) Y,2.472783e-01,1.611343e-22,2.833320e-11
/out2 (Vin=0.2469799) Y,2.472783e-01,3.047453e-22,1.063152e-11
/out2 (Vin=0.2577181) Y,2.472783e-01,3.200218e-20,2.836539e-08
/out2 (Vin=0.2684564) Y,2.472783e-01,1.117427e-22,-1.543924e-10
/out2 (Vin=0.2791946) Y,2.472779e-01,1.666803e-11,6.575225e-04
/out2 (Vin=0.2899329) Y,2.472783e-01,6.295153e-23,-2.089102e-10
