/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
386666666.6666669,-9.250609892705443e-05,-8.521611317714504e-05,386666666.6666669,2.600836097852152e-07,-4.167651860112083e-07,386666666.6666669,0.005,0,386666666.6666669,4.977388794995429e-10,1.47660045348335e-10
393333333.3333336,-9.25831957644281e-05,-8.102422857763752e-05,393333333.3333336,2.325310990633931e-07,-4.196093481899679e-07,393333333.3333336,0.005,0,393333333.3333336,4.888457343776941e-10,1.054211812697575e-10
400000000.0000002,-9.255010574766549e-05,-7.696854760719787e-05,400000000.0000002,2.059906401135132e-07,-4.208374953988772e-07,400000000.0000002,0.005,0,400000000.0000002,4.772019502785593e-10,6.617913262114212e-11
406666666.6666669,-9.241566893764955e-05,-7.304579676402187e-05,406666666.6666669,1.804949961186916e-07,-4.2060355090084e-07,406666666.6666669,0.005,0,406666666.6666669,4.632377976302385e-10,2.994520863811161e-11
413333333.3333336,-9.218809933969635e-05,-6.925264716090931e-05,413333333.3333336,1.560651663689186e-07,-4.190519280397812e-07,413333333.3333336,0.005,0,413333333.3333336,4.47348651133989e-10,-3.305781791154118e-12
420000000.0000003,-9.187503023773609e-05,-6.558573677530525e-05,420000000.0000003,1.327120305374366e-07,-4.163176305978414e-07,420000000.0000003,0.005,0,420000000.0000003,4.298952394310711e-10,-3.362904838706455e-11
426666666.666667,-9.148355607535325e-05,-6.204168938168479e-05,426666666.666667,1.104378192672488e-07,-4.125264499324779e-07,426666666.666667,0.005,0,426666666.666667,4.112044330470616e-10,-6.110406134196262e-11
433333333.3333337,-9.102027115607957e-05,-5.861713061689914e-05,433333333.3333337,8.923742443529359e-08,-4.077952363986699e-07,433333333.3333337,0.005,0,433333333.3333337,3.915704419533444e-10,-8.582947811290348e-11
440000000.0000004,-9.049130541078162e-05,-5.530870156801186e-05,440000000.0000004,6.909956228949863e-08,-4.022322262717973e-07,440000000.0000004,0.005,0,440000000.0000004,3.712563143049437e-10,-1.079187098998263e-10
446666666.666667,-8.990235746528889e-05,-5.21130702175513e-05,446666666.666667,5.000780223796645e-08,-3.959374085622949e-07,446666666.666667,0.005,0,446666666.666667,3.504956458937949e-10,-1.274960787742663e-10
453333333.3333337,-8.925872522099253e-05,-4.902694103540606e-05,453333333.3333337,3.194147351599948e-08,-3.890029188629431e-07,453333333.3333337,0.005,0,453333333.3333337,3.294944257054188e-10,-1.446935147627029e-10
460000000.0000004,-8.856533414610192e-05,-4.604706296721747e-05,460000000.0000004,1.487646130015477e-08,-3.815134496941179e-07,460000000.0000004,0.005,0,460000000.0000004,3.084329567656549e-10,-1.596477421458247e-10
466666666.6666671,-8.782676345890624e-05,-4.317023603533798e-05,466666666.6666671,-1.214096885268085e-09,-3.735466687931734e-07,466666666.6666671,0.005,0,466666666.6666671,2.874678033982729e-10,-1.724979054223626e-10
473333333.3333338,-8.704727036891239e-05,-4.039331674015939e-05,473333333.3333338,-1.635920436838902e-08,-3.651736384882124e-07,473333333.3333338,0.005,0,473333333.3333338,2.667337262475956e-10,-1.833835874239618e-10
480000000.0000005,-8.623081253061139e-05,-3.771322242302283e-05,480000000.0000005,-3.05894787989693e-08,-3.564592307011113e-07,480000000.0000005,0.005,0,480000000.0000005,2.46345575091665e-10,-1.924431747164821e-10
486666666.6666672,-8.538106884843867e-05,-3.512693473252045e-05,486666666.6666672,-4.393669729495694e-08,-3.474625333271586e-07,486666666.6666672,0.005,0,486666666.6666672,2.264001167943632e-10,-1.998125284450025e-10
493333333.3333338,-8.450145876396698e-05,-3.263150231552221e-05,493333333.3333338,-5.643340540290995e-08,-3.382372447334978e-07,493333333.3333338,0.005,0,493333333.3333338,2.069777818436655e-10,-2.056239220124918e-10
500000000.0000005,-8.359516014239852e-05,-3.022404284014465e-05,500000000.0000005,-6.811258270325497e-08,-3.28832053950556e-07,500000000.0000005,0.005,0,500000000.0000005,1.881443179704289e-10,-2.100052102936815e-10
506666666.6666672,-8.266512586770059e-05,-2.790174444192311e-05,506666666.6666672,-7.900735855521672e-08,-3.19291004813133e-07,506666666.6666672,0.005,0,506666666.6666672,1.699523434630559e-10,-2.130791983776786e-10
513333333.3333339,-8.171409924590035e-05,-2.566186667512614e-05,513333333.3333339,-8.915077209210702e-08,-3.096538428828637e-07,513333333.3333339,0.005,0,513333333.3333339,1.524427961375346e-10,-2.149631810345556e-10
520000000.0000006,-8.074462830782718e-05,-2.350174103755858e-05,520000000.0000006,-9.857557116092123e-08,-2.999563444323066e-07,520000000.0000006,0.005,0,520000000.0000006,1.356462765742799e-10,-2.157686271518803e-10
