/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y,/vout X,/vout Y
4.497691104425158e-08,0,4.497691104425158e-08,5,4.497691104425158e-08,5,4.497691104425158e-08,5,4.497691104425158e-08,2.37700040530125
4.523905670590257e-08,0,4.523905670590257e-08,5,4.523905670590257e-08,5,4.523905670590257e-08,5,4.523905670590257e-08,2.376996754200813
4.549434111024987e-08,0,4.549434111024987e-08,5,4.549434111024987e-08,5,4.549434111024987e-08,5,4.549434111024987e-08,2.377001589581319
4.600490991894447e-08,0,4.600490991894447e-08,5,4.600490991894447e-08,5,4.600490991894447e-08,5,4.600490991894447e-08,2.376996846667999
4.702604753633367e-08,0,4.702604753633367e-08,5,4.702604753633367e-08,5,4.702604753633367e-08,5,4.702604753633367e-08,2.377001579922368
4.851302376816683e-08,0,4.851302376816683e-08,5,4.851302376816683e-08,5,4.851302376816683e-08,5,4.851302376816683e-08,2.376996848760828
5e-08,0,5e-08,5,5e-08,5,5e-08,5,5e-08,2.377001584882272
5.010584830967544e-08,0.5292415483772149,5.010584830967544e-08,5,5.010584830967544e-08,5,5.010584830967544e-08,5,5.010584830967544e-08,2.655574899539813
5.02776276720811e-08,1.388138360405528,5.02776276720811e-08,5,5.02776276720811e-08,5,5.02776276720811e-08,5,5.02776276720811e-08,3.112095414541373
5.051266220502999e-08,2.563311025149968,5.051266220502999e-08,5,5.051266220502999e-08,5,5.051266220502999e-08,5,5.051266220502999e-08,3.735431239303131
5.075694471724333e-08,3.784723586216665,5.075694471724333e-08,5,5.075694471724333e-08,5,5.075694471724333e-08,5,5.075694471724333e-08,4.380166216579813
5.08177085379325e-08,4.088542689662501,5.08177085379325e-08,5,5.08177085379325e-08,5,5.08177085379325e-08,5,5.08177085379325e-08,4.537396977108077
5.090885426896624e-08,4.544271344831223,5.090885426896624e-08,5,5.090885426896624e-08,5,5.090885426896624e-08,5,5.090885426896624e-08,4.769658530520807
5.099999999999999e-08,4.999999999999979,5.099999999999999e-08,5,5.099999999999999e-08,5,5.099999999999999e-08,5,5.099999999999999e-08,4.997471402650229
