/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
473333333.3333338,-8.683091250200612e-05,-4.043649492739995e-05,473333333.3333338,3.103217347288414e-07,-2.427556965769056e-06,473333333.3333338,0.005,0,473333333.3333338,2.628993092026506e-10,-2.363799443278933e-10
480000000.0000005,-8.602293038097209e-05,-3.776194116844156e-05,480000000.0000005,1.965536377694736e-07,-2.361452742427247e-06,480000000.0000005,0.005,0,480000000.0000005,2.394628016537431e-10,-2.440138949056847e-10
486666666.6666672,-8.518151547760802e-05,-3.518064202590025e-05,486666666.6666672,9.053004489463525e-08,-2.293085348823536e-06,486666666.6666672,0.005,0,486666666.6666672,2.166698524918734e-10,-2.497828148980695e-10
493333333.3333338,-8.431007155338729e-05,-3.26896807921849e-05,493333333.3333338,-8.046838799027792e-09,-2.222934003907006e-06,493333333.3333338,0.005,0,493333333.3333338,1.946049029475112e-10,-2.538444003969761e-10
500000000.0000005,-8.34117633362005e-05,-3.028620833853149e-05,500000000.0000005,-9.947969600663195e-08,-2.151433790689141e-06,500000000.0000005,0.005,0,500000000.0000005,1.733353295260775e-10,-2.563504292145243e-10
506666666.6666672,-8.248953286059158e-05,-2.796744454473836e-05,506666666.6666672,-1.840735310095394e-07,-2.078978569372968e-06,506666666.6666672,0.005,0,506666666.6666672,1.529133255907862e-10,-2.574460763499797e-10
513333333.3333339,-8.154611463675562e-05,-2.573067924809326e-05,513333333.3333339,-2.621334611023117e-07,-2.005923785984754e-06,513333333.3333339,0.005,0,513333333.3333339,1.333776489683557e-10,-2.572694296566607e-10
520000000.0000006,-8.058404973833425e-05,-2.3573272777637e-05,520000000.0000006,-3.339628278954812e-07,-1.932589167335554e-06,520000000.0000006,0.005,0,520000000.0000006,1.147552355550367e-10,-2.559511745455753e-10
526666666.6666673,-7.960569889257393e-05,-2.149265613412403e-05,526666666.6666673,-3.998615940112526e-07,-1.859261296082368e-06,526666666.6666673,0.005,0,526666666.6666673,9.706268118108302e-11,-2.536144202253513e-10
533333333.333334,-7.861325464761173e-05,-1.948633086626328e-05,533333333.333334,-4.601249937535129e-07,-1.786196061980599e-06,533333333.333334,0.005,0,533333333.333334,8.030759569399946e-11,-2.503746433184911e-10
540000000.0000006,-7.760875268783367e-05,-1.755186868855988e-05,540000000.0000006,-5.150424092084753e-07,-1.713620987482086e-06,540000000.0000006,0.005,0,540000000.0000006,6.448983448283969e-11,-2.463397277718301e-10
546666666.6666672,-7.659408236057469e-05,-1.568691087928719e-05,546666666.6666672,-5.648964459122947e-07,-1.641737427395027e-06,546666666.6666672,0.005,0,546666666.6666672,4.96026135406376e-11,-2.416100827341194e-10
553333333.3333338,-7.557099647318298e-05,-1.388916749384196e-05,553333333.3333338,-6.099621846443347e-07,-1.570722643689355e-06,553333333.3333338,0.005,0,553333333.3333338,3.563351474816554e-11,-2.362788225717468e-10
560000000.0000005,-7.454112041438103e-05,-1.215641642166568e-05,560000000.0000005,-6.505065882194579e-07,-1.500731757542399e-06,560000000.0000005,0.005,0,560000000.0000005,2.256538838370666e-11,-2.30431995415334e-10
566666666.6666671,-7.350596064995289e-05,-1.048650231460021e-05,566666666.6666671,-6.867880442339009e-07,-1.431899581628194e-06,566666666.6666671,0.005,0,566666666.6666671,1.03771600150597e-11,-2.241488486214877e-10
573333333.3333337,-7.246691263811586e-05,-8.87733540797667e-06,573333333.3333337,-7.190560266261745e-07,-1.364342336218754e-06,573333333.3333337,0.005,0,573333333.3333337,-9.554510950285623e-13,-2.175021212706115e-10
580000000.0000004,-7.142526820685713e-05,-7.326890254955597e-06,580000000.0000004,-7.475508606841194e-07,-1.298159253223303e-06,580000000.0000004,0.005,0,580000000.0000004,-1.145929505570835e-11,-2.105583553825758e-10
