FeaturesParamTransientACAAP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.2555369) Y,1.825816e-01,4.464709e-21,-1.950935e-08,6.736547e-02,4.538107e-03
/out1 (OFF=0.2583893) Y,1.825816e-01,3.884718e-20,8.848990e-09,6.738012e-02,4.540081e-03
/out1 (OFF=0.2612416) Y,1.825816e-01,8.939847e-21,-1.318801e-08,6.739583e-02,4.542198e-03
/out1 (OFF=0.264094) Y,1.825816e-01,4.220490e-16,3.276205e-06,6.741266e-02,4.544467e-03
/out1 (OFF=0.2669463) Y,1.825816e-01,7.254354e-21,-2.495401e-08,6.743070e-02,4.546900e-03
/out1 (OFF=0.2697987) Y,1.825816e-01,1.307988e-20,-1.541078e-08,6.745004e-02,4.549508e-03
/out1 (OFF=0.272651) Y,1.825816e-01,1.445988e-20,-1.650645e-08,6.747075e-02,4.552303e-03
/out1 (OFF=0.2755034) Y,1.825816e-01,1.572367e-20,-1.826471e-08,6.749295e-02,4.555298e-03
/out1 (OFF=0.2783557) Y,1.825816e-01,1.603015e-20,-2.110371e-08,6.751673e-02,4.558509e-03
/out1 (OFF=0.2812081) Y,1.825816e-01,1.830379e-20,-2.199205e-08,6.754221e-02,4.561950e-03
/out1 (OFF=0.2840604) Y,1.825816e-01,2.465671e-18,2.159277e-07,6.756951e-02,4.565639e-03
/out1 (OFF=0.2869128) Y,1.825816e-01,1.784623e-17,6.406298e-07,6.759876e-02,4.569593e-03
/out1 (OFF=0.2897651) Y,1.825816e-01,3.674714e-19,5.501274e-08,6.763012e-02,4.573833e-03
/out1 (OFF=0.2926174) Y,1.825816e-01,8.761253e-18,-5.173441e-07,6.766373e-02,4.578381e-03
/out1 (OFF=0.2954698) Y,1.825816e-01,1.865262e-17,-7.380256e-07,6.769977e-02,4.583259e-03
/out1 (OFF=0.2983221) Y,1.825816e-01,2.772374e-20,-3.886807e-08,6.773843e-02,4.588495e-03
/out1 (OFF=0.3011745) Y,1.825816e-01,3.139078e-20,-4.038007e-08,6.777982e-02,4.594105e-03
/out1 (OFF=0.3040268) Y,1.825816e-01,3.370272e-20,-4.409249e-08,6.782440e-02,4.600149e-03
/out1 (OFF=0.3068792) Y,1.825816e-01,1.262554e-16,1.748959e-06,6.787221e-02,4.606638e-03
/out1 (OFF=0.3097315) Y,1.825816e-01,3.874329e-20,-5.770092e-08,6.792356e-02,4.613611e-03
/out1 (OFF=0.3125839) Y,1.825816e-01,4.254576e-20,-6.065749e-08,6.797878e-02,4.621116e-03
/out1 (OFF=0.3154362) Y,1.825816e-01,4.705948e-20,-6.374324e-08,6.803818e-02,4.629195e-03
/out1 (OFF=0.3182886) Y,1.825816e-01,1.007701e-18,9.000233e-08,6.810212e-02,4.637900e-03
/out1 (OFF=0.3211409) Y,1.825816e-01,1.356269e-19,-2.546289e-08,6.817101e-02,4.647288e-03
/out1 (OFF=0.3239933) Y,1.825816e-01,6.321050e-20,-7.387840e-08,6.824531e-02,4.657424e-03
/out1 (OFF=0.3268456) Y,1.825816e-01,6.958021e-20,-7.752235e-08,6.832551e-02,4.668377e-03
/out1 (OFF=0.329698) Y,1.825816e-01,7.654198e-20,-8.134961e-08,6.841218e-02,4.680228e-03
/out1 (OFF=0.3325503) Y,1.825816e-01,8.415556e-20,-8.517637e-08,6.850595e-02,4.693068e-03
/out1 (OFF=0.3354027) Y,1.825816e-01,9.232749e-20,-8.924417e-08,6.860753e-02,4.706996e-03
/out1 (OFF=0.338255) Y,1.825816e-01,1.012487e-19,-9.344290e-08,6.871769e-02,4.722125e-03
/out1 (OFF=0.3411074) Y,1.825816e-01,1.109999e-19,-9.782263e-08,6.883747e-02,4.738602e-03
/out1 (OFF=0.3439597) Y,1.825816e-01,1.226320e-19,-9.735556e-08,6.896778e-02,4.756559e-03
/out1 (OFF=0.3468121) Y,1.825816e-01,1.381193e-19,-9.540815e-08,6.910984e-02,4.776176e-03
/out1 (OFF=0.3496644) Y,1.825816e-01,1.504892e-19,-1.001920e-07,6.926503e-02,4.797650e-03
/out1 (OFF=0.3525168) Y,1.825816e-01,1.640773e-19,-1.052252e-07,6.943489e-02,4.821212e-03
/out1 (OFF=0.3553691) Y,1.825816e-01,1.772361e-19,-1.115818e-07,6.962125e-02,4.847128e-03
/out1 (OFF=0.3582215) Y,1.825816e-01,1.934878e-19,-1.162601e-07,6.982617e-02,4.875705e-03
/out1 (OFF=0.3610738) Y,1.825816e-01,2.052541e-19,-1.331569e-07,7.005221e-02,4.907326e-03
/out1 (OFF=0.3639262) Y,1.825816e-01,2.259749e-19,-1.307565e-07,7.030213e-02,4.942407e-03
/out1 (OFF=0.3667785) Y,1.825816e-01,2.481121e-19,-1.337332e-07,7.057937e-02,4.981468e-03
/out1 (OFF=0.3696309) Y,1.825816e-01,2.687083e-19,-1.403910e-07,7.088792e-02,5.025123e-03
/out1 (OFF=0.3724832) Y,1.825816e-01,2.903243e-19,-1.484146e-07,7.123259e-02,5.074114e-03
/out1 (OFF=0.3753356) Y,1.825816e-01,3.170968e-19,-1.525236e-07,7.161912e-02,5.129339e-03
/out1 (OFF=0.3781879) Y,1.825816e-01,3.436849e-19,-1.590921e-07,7.205444e-02,5.191895e-03
/out1 (OFF=0.3810403) Y,1.825816e-01,5.026019e-19,-1.189332e-07,7.254701e-02,5.263136e-03
/out1 (OFF=0.3838926) Y,1.825816e-01,3.979415e-19,-1.853435e-07,7.310719e-02,5.344748e-03
