FeaturesParamTransientACNNP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.5379195) Y,1.001635e+00,6.824245e-05,-2.427133e+00,2.558558e-10,8.716945e-20
/out0 (OFF=0.5407718) Y,1.018227e+00,6.711842e-05,-2.407061e+00,2.462386e-10,8.328809e-20
/out0 (OFF=0.5436242) Y,1.034674e+00,6.589137e-05,-2.384957e+00,2.732809e-10,1.032636e-19
/out0 (OFF=0.5464765) Y,1.050962e+00,6.456021e-05,-2.360744e+00,2.588735e-10,9.565118e-20
/out0 (OFF=0.5493289) Y,1.067076e+00,6.311936e-05,-2.334253e+00,2.536520e-10,8.640148e-20
/out0 (OFF=0.5521812) Y,1.083000e+00,6.155650e-05,-2.305177e+00,2.490965e-10,8.382009e-20
/out0 (OFF=0.5550336) Y,1.098713e+00,5.984962e-05,-2.272997e+00,2.514318e-10,8.504197e-20
/out0 (OFF=0.5578859) Y,1.114192e+00,5.796371e-05,-2.236906e+00,2.550490e-10,8.701037e-20
/out0 (OFF=0.5607383) Y,1.129406e+00,5.584809e-05,-2.195713e+00,2.309724e-10,7.643196e-20
/out0 (OFF=0.5635906) Y,1.144314e+00,5.343755e-05,-2.147815e+00,2.550250e-10,9.129738e-20
/out0 (OFF=0.566443) Y,1.158863e+00,5.066279e-05,-2.091317e+00,2.700219e-10,9.387556e-20
/out0 (OFF=0.5692953) Y,1.172990e+00,4.747599e-05,-2.024474e+00,2.385606e-10,8.091106e-20
/out0 (OFF=0.5721477) Y,1.186619e+00,4.388933e-05,-1.946486e+00,2.555668e-10,8.667963e-20
/out0 (OFF=0.575) Y,1.199681e+00,4.006082e-05,-1.859531e+00,2.485207e-10,8.426562e-20
Stage 2 Output
/out1 (OFF=0.15) Y,2.497653e-01,2.149765e-13,-9.659253e-05,1.241027e-08,2.239352e-14
/out1 (OFF=0.1528523) Y,2.497664e-01,5.220017e-12,-4.955115e-04,1.012138e-07,1.537441e-12
/out1 (OFF=0.1557047) Y,2.497672e-01,2.525029e-13,-1.472379e-04,4.995263e-10,5.216652e-18
/out1 (OFF=0.158557) Y,2.497682e-01,2.970256e-13,-1.579158e-04,1.034124e-09,1.019753e-16
/out1 (OFF=0.1614094) Y,2.497694e-01,3.487471e-13,-1.734489e-04,1.378787e-09,2.012728e-16
/out1 (OFF=0.1642617) Y,2.497706e-01,4.095163e-13,-1.879716e-04,2.446334e-10,7.557052e-20
/out1 (OFF=0.1671141) Y,2.497720e-01,4.805932e-13,-2.036542e-04,2.577350e-10,8.310321e-20
/out1 (OFF=0.1699664) Y,2.497734e-01,5.636691e-13,-2.205557e-04,2.433688e-10,7.764370e-20
/out1 (OFF=0.1728188) Y,2.497750e-01,6.607008e-13,-2.387610e-04,2.755728e-10,1.167234e-19
/out1 (OFF=0.1756711) Y,2.497767e-01,7.739519e-13,-2.583724e-04,1.504713e-09,2.470680e-16
/out1 (OFF=0.1785235) Y,2.497785e-01,9.060356e-13,-2.795728e-04,2.581018e-10,9.160102e-20
/out1 (OFF=0.1813758) Y,2.497805e-01,1.059971e-12,-3.023955e-04,2.253618e-10,7.000768e-20
/out1 (OFF=0.1842282) Y,2.497827e-01,1.239249e-12,-3.267120e-04,4.440132e-10,4.068200e-18
/out1 (OFF=0.1870805) Y,2.497850e-01,1.447851e-12,-3.534283e-04,2.452048e-10,2.063805e-19
/out1 (OFF=0.1899329) Y,2.497876e-01,1.690425e-12,-3.818930e-04,2.506076e-10,1.939846e-19
/out1 (OFF=0.1927852) Y,2.497903e-01,1.973561e-12,-4.071355e-04,3.023062e-09,1.143485e-15
/out1 (OFF=0.1956376) Y,2.497932e-01,2.333196e-12,-4.163648e-04,1.501449e-08,3.285861e-14
/out1 (OFF=0.1984899) Y,2.497964e-01,2.827808e-12,-4.193095e-04,3.140752e-08,1.467780e-13
/out1 (OFF=0.2013423) Y,2.497998e-01,3.120310e-12,-5.138278e-04,2.769041e-09,9.746538e-16
/out1 (OFF=0.2041946) Y,2.498035e-01,3.629440e-12,-5.563015e-04,1.923986e-09,4.270455e-16
/out1 (OFF=0.207047) Y,2.498075e-01,4.218854e-12,-6.034790e-04,2.788208e-10,3.273101e-19
/out1 (OFF=0.2098993) Y,2.498118e-01,4.901174e-12,-6.503722e-04,2.861138e-10,1.025758e-19
/out1 (OFF=0.2127517) Y,2.498165e-01,5.689710e-12,-7.007380e-04,6.630248e-10,2.529571e-17
/out1 (OFF=0.215604) Y,2.498215e-01,6.600324e-12,-7.546744e-04,2.406983e-10,2.110591e-19
/out1 (OFF=0.2184564) Y,2.498268e-01,7.651145e-12,-8.125994e-04,2.528984e-10,8.676153e-20
