FeaturesParamTransientACAPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.215604) Y,7.503512e-02,1.495770e-22,-3.591146e-09,1.747864e-01,3.055027e-02
/out1 (OFF=0.2184564) Y,7.503512e-02,1.731637e-22,-3.866970e-09,1.747917e-01,3.055215e-02
/out1 (OFF=0.2213087) Y,7.503512e-02,1.987049e-22,-4.136107e-09,1.747975e-01,3.055417e-02
/out1 (OFF=0.2241611) Y,7.503512e-02,2.282899e-22,-4.436798e-09,1.748038e-01,3.055635e-02
/out1 (OFF=0.2270134) Y,7.503512e-02,2.627780e-22,-4.762831e-09,1.748105e-01,3.055869e-02
/out1 (OFF=0.2298658) Y,7.503512e-02,3.031939e-22,-5.114987e-09,1.748177e-01,3.056121e-02
/out1 (OFF=0.2327181) Y,7.503512e-02,3.453913e-22,-5.460646e-09,1.748254e-01,3.056392e-02
/out1 (OFF=0.2355705) Y,7.503512e-02,3.957990e-22,-5.828476e-09,1.748337e-01,3.056684e-02
/out1 (OFF=0.2384228) Y,7.503512e-02,4.525136e-22,-6.254012e-09,1.748427e-01,3.056996e-02
/out1 (OFF=0.2412752) Y,7.503512e-02,5.167759e-22,-6.678658e-09,1.748523e-01,3.057332e-02
/out1 (OFF=0.2441275) Y,7.503512e-02,5.894728e-22,-7.137401e-09,1.748626e-01,3.057693e-02
/out1 (OFF=0.2469799) Y,7.503512e-02,6.715601e-22,-7.617939e-09,1.748737e-01,3.058080e-02
/out1 (OFF=0.2498322) Y,7.503512e-02,7.640912e-22,-8.129075e-09,1.748855e-01,3.058495e-02
/out1 (OFF=0.2526846) Y,7.503512e-02,1.578995e-21,-4.376780e-09,1.748983e-01,3.058941e-02
/out1 (OFF=0.2555369) Y,7.503512e-02,9.852630e-22,-9.206523e-09,1.749119e-01,3.059419e-02
/out1 (OFF=0.2583893) Y,7.503512e-02,1.116772e-21,-9.822184e-09,1.749266e-01,3.059931e-02
/out1 (OFF=0.2612416) Y,7.503512e-02,1.264492e-21,-1.044583e-08,1.749423e-01,3.060481e-02
/out1 (OFF=0.264094) Y,7.503512e-02,1.462974e-21,-1.204904e-08,1.749591e-01,3.061070e-02
/out1 (OFF=0.2669463) Y,7.503512e-02,1.613639e-21,-1.179991e-08,1.749772e-01,3.061701e-02
/out1 (OFF=0.2697987) Y,7.503512e-02,2.699293e-17,8.220484e-07,1.749965e-01,3.062378e-02
/out1 (OFF=0.272651) Y,7.503512e-02,2.675740e-17,8.176247e-07,1.750172e-01,3.063103e-02
/out1 (OFF=0.2755034) Y,7.503512e-02,2.435062e-21,-1.229422e-08,1.750394e-01,3.063880e-02
/out1 (OFF=0.2783557) Y,7.503499e-02,2.535859e-12,2.558811e-04,1.750633e-01,3.064717e-02
/out1 (OFF=0.2812081) Y,7.503512e-02,4.630978e-18,3.297437e-07,1.750887e-01,3.065605e-02
/out1 (OFF=0.2840604) Y,7.503512e-02,3.256026e-21,-1.675243e-08,1.751160e-01,3.066561e-02
/out1 (OFF=0.2869128) Y,7.503512e-02,3.800181e-21,-1.573190e-08,1.751452e-01,3.067586e-02
/out1 (OFF=0.2897651) Y,7.503512e-02,3.164200e-17,8.848004e-07,1.751766e-01,3.068684e-02
/out1 (OFF=0.2926174) Y,7.503512e-02,3.094353e-17,8.737074e-07,1.752102e-01,3.069862e-02
/out1 (OFF=0.2954698) Y,7.503512e-02,5.066892e-21,-2.090743e-08,1.752463e-01,3.071125e-02
/out1 (OFF=0.2983221) Y,7.503512e-02,3.202683e-17,8.869296e-07,1.752849e-01,3.072480e-02
/out1 (OFF=0.3011745) Y,7.503503e-02,1.248182e-12,1.794886e-04,1.753264e-01,3.073934e-02
/out1 (OFF=0.3040268) Y,7.503512e-02,8.727698e-21,-1.781478e-08,1.753709e-01,3.075494e-02
/out1 (OFF=0.3068792) Y,7.503512e-02,3.071633e-17,8.643514e-07,1.754187e-01,3.077172e-02
/out1 (OFF=0.3097315) Y,7.503512e-02,8.932592e-20,1.844352e-08,1.754700e-01,3.078974e-02
/out1 (OFF=0.3125839) Y,7.503512e-02,9.502886e-21,-2.806071e-08,1.755253e-01,3.080912e-02
/out1 (OFF=0.3154362) Y,7.503512e-02,1.049335e-20,-3.009348e-08,1.755847e-01,3.082997e-02
/out1 (OFF=0.3182886) Y,7.503512e-02,3.095164e-17,8.618968e-07,1.756486e-01,3.085243e-02
/out1 (OFF=0.3211409) Y,7.503512e-02,3.083274e-17,8.585660e-07,1.757175e-01,3.087664e-02
/out1 (OFF=0.3239933) Y,7.503512e-02,2.271236e-16,2.385987e-06,1.757918e-01,3.090276e-02
/out1 (OFF=0.3268456) Y,7.503512e-02,1.551915e-20,-3.659136e-08,1.758720e-01,3.093096e-02
/out1 (OFF=0.329698) Y,7.503512e-02,1.706934e-20,-3.838734e-08,1.759587e-01,3.096145e-02
/out1 (OFF=0.3325503) Y,7.503512e-02,1.397773e-17,5.599242e-07,1.760524e-01,3.099446e-02
/out1 (OFF=0.3354027) Y,7.503512e-02,2.970386e-17,8.330349e-07,1.761540e-01,3.103024e-02
/out1 (OFF=0.338255) Y,7.503512e-02,2.258213e-20,-4.415004e-08,1.762642e-01,3.106906e-02
/out1 (OFF=0.3411074) Y,7.503512e-02,3.031121e-17,8.378270e-07,1.763840e-01,3.111130e-02
/out1 (OFF=0.3439597) Y,7.503512e-02,2.960983e-17,8.253600e-07,1.765143e-01,3.115729e-02
/out1 (OFF=0.3468121) Y,7.503512e-02,3.778205e-17,9.364427e-07,1.766563e-01,3.120746e-02
/out1 (OFF=0.3496644) Y,7.503512e-02,3.236791e-20,-5.285063e-08,1.768115e-01,3.126232e-02
/out1 (OFF=0.3525168) Y,7.503512e-02,3.090910e-17,8.373313e-07,1.769814e-01,3.132242e-02
