/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
746666666.666666,0.0002422951130056017,0.001476328514526927,746666666.666666,-7.246162958563808e-08,-7.289166376102942e-07,746666666.666666,0.025,0
753333333.3333327,0.000267265901855281,0.001438919795430791,753333333.3333327,-9.239148053609548e-08,-7.032519023279717e-07,753333333.3333327,0.025,0
759999999.9999993,0.0002907081876281051,0.001401981355638559,759999999.9999993,-1.10776887647232e-07,-6.779380268449967e-07,759999999.9999993,0.025,0
766666666.6666659,0.0003126816941224819,0.001365534607186226,766666666.6666659,-1.276942571480653e-07,-6.530088329925366e-07,766666666.6666659,0.025,0
773333333.3333325,0.0003332445509076681,0.001329598714183326,773333333.3333325,-1.432175349790411e-07,-6.284941096795801e-07,773333333.3333325,0.025,0
779999999.9999992,0.0003524532973691012,0.001294190720878635,779999999.9999992,-1.574181965494045e-07,-6.044198967480136e-07,779999999.9999992,0.025,0
786666666.6666658,0.0003703628899148582,0.001259325674388247,786666666.6666658,-1.703652468084159e-07,-5.808087540050209e-07,786666666.6666658,0.025,0
793333333.3333324,0.0003870267120794962,0.001225016742221341,793333333.3333324,-1.821252294987316e-07,-5.576800159012008e-07,793333333.3333324,0.025,0
799999999.999999,0.0004024965872806325,0.001191275324748943,799999999.999999,-1.927622445743587e-07,-5.350500323354875e-07,799999999.999999,0.025,0
806666666.6666657,0.0004168227939680937,0.00115811116275357,806666666.6666657,-2.023379728194329e-07,-5.129323960708084e-07,806666666.6666657,0.025,0
813333333.3333323,0.0004300540829619016,0.001125532440206797,813333333.3333323,-2.109117067962245e-07,-4.913381572699691e-07,813333333.3333323,0.025,0
819999999.9999989,0.000442237696746003,0.00109354588241289,819999999.9999989,-2.185403873149919e-07,-4.702760256396398e-07,819999999.9999989,0.025,0
826666666.6666656,0.0004534193905240177,0.001062156849661244,826666666.6666656,-2.252786446799599e-07,-4.497525606947277e-07,826666666.6666656,0.025,0
833333333.3333322,0.0004636434548417353,0.00103136942653056,833333333.3333322,-2.311788440412691e-07,-4.297723506335721e-07,833333333.3333322,0.025,0
839999999.9999988,0.0004729527396076147,0.001001186506982211,839999999.9999988,-2.362911342268922e-07,-4.103381803239783e-07,839999999.9999988,0.025,0
846666666.6666654,0.0004813886793205914,0.0009716098753855152,846666666.6666654,-2.406634994864753e-07,-3.91451188885152e-07,846666666.6666654,0.025,0
